,id,sex,Tribe,Genus,Species,sub-species,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,Perimeter,doresal/ventral,Anterior/Posterior,left/right,sub/Family,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,genotype,phenotype,sex-phenotype
50,156,f,Ithomiinae,Melinaea,marsaeus,phasiana,688887.0,1240.3172,1241,94.7357,372911987337,335241482358443,321185676203651968,0.59287,0.63382,0.66586,3606.9659,,,,,,,,,,,,,,,,
51,156,f,Ithomiinae,Melinaea,marsaeus,phasiana,676750.0,1208.6964,1205,96.1946,321464057093,274515849038729,250249322654196992,0.57196,0.61432,0.64714,3462.047,,,,,,,,,,,,,,,,
52,156,f,Ithomiinae,Melinaea,marsaeus,phasiana,973499.0,1649.9139,1713,141.5633,1096232050082,1376571490476610,1825854502146889984,0.61948,0.65523,0.68316,4437.5386,v,Ant,d,Ithomiinae,787.5757,865.0,17.8313,188855375818.0,105143110116224.0,6.34202947127621e+16,0.50919,0.55055,0.58406,,,
53,156,f,Ithomiinae,Melinaea,marsaeus,phasiana,979455.0,1657.6928,1723,113.5927,1106317953998,1392471563896540,1851663615080090112,0.61683,0.6526,0.68055,4472.1071,v,Ant,g,Ithomiinae,789.7999,861.0,13.1904,186891776392.0,103702766276574.0,6.24269631789974e+16,0.50734,0.54946,0.58357,,,
54,156,f,Ithomiinae,Melinaea,marsaeus,phasiana,675817.0,1205.8841,1201,95.1229,317746565712,270195619209624,245284009437076000,0.57093,0.61339,0.64627,3444.0298,,,,,,,,,,,,,,,,
55,156,f,Ithomiinae,Melinaea,marsaeus,phasiana,687714.0,1240.1119,1242,67.2475,372799135684,335302046487086,321415800444411008,0.59281,0.63371,0.66572,3665.5933,,,,,,,,,,,,,,,,
56,233,f,Ithomiinae,Melinaea,marsaeus,rileyi,835684.0,1546.6293,1623,136.9038,859027020456,1024828272234990,1290660356868369920,0.62469,0.6595,0.68687,4415.1467,,,,,,,,,,,,,,,,
57,233,f,Ithomiinae,Melinaea,marsaeus,rileyi,821035.0,1512.0708,1559,132.1361,745955788993,845947529262321,1014385840342770048,0.61141,0.64786,0.67626,4104.2106,,,,,,,,,,,,,,,,
58,233,f,Ithomiinae,Melinaea,marsaeus,rileyi,560865.0,1102.8221,1133,75.4378,235569034307,187605253931497,159591231489182016,0.57201,0.61268,0.64463,3242.8166,,,,,,,,,,,,,,,,
59,233,f,Ithomiinae,Melinaea,marsaeus,rileyi,552250.0,1085.1585,1100,92.389,212911532179,163929360525549,134977272843812992,0.56447,0.60643,0.6392,3211.5861,,,,,,,,,,,,,,,,
60,233,f,Ithomiinae,Melinaea,marsaeus,rileyi,820923.0,1510.2884,1556,110.177,745659219030,845266790446254,1013092387497849984,0.6125,0.64896,0.67737,4082.9213,,,,,,,,,,,,,,,,
61,233,f,Ithomiinae,Melinaea,marsaeus,rileyi,833488.0,1544.1866,1623,127.2457,852950863165,1015510890033050,1276350456549850112,0.6233,0.65808,0.68541,4396.1,,,,,,,,,,,,,,,,
62,233,f,Ithomiinae,Melinaea,marsaeus,rileyi,551602.0,1084.8276,1101,87.5875,212605932124,163650679339848,134709165954159008,0.56388,0.60577,0.63849,3208.2897,,,,,,,,,,,,,,,,
63,233,f,Ithomiinae,Melinaea,marsaeus,rileyi,560497.0,1103.7273,1135,77.2936,240277517898,192749262162702,165106804786011008,0.57686,0.61727,0.64909,3304.4734,,,,,,,,,,,,,,,,
64,234,m,Ithomiinae,Melinaea,marsaeus,rileyi-phasiana,885601.0,1587.6666,1597,137.7907,891558014788,1063969023137110,1342189922319600128,0.62828,0.66567,0.69477,4406.2076,,,,,,,,,,,,,,,,
65,234,m,Ithomiinae,Melinaea,marsaeus,rileyi-phasiana,903157.0,1598.6368,1653,122.4786,911610286193,1091669672231980,1383335160123490048,0.60779,0.64442,0.673,4277.9406,,,,,,,,,,,,,,,,
66,234,m,Ithomiinae,Melinaea,marsaeus,rileyi-phasiana,623305.0,1103.2611,1122,11.0596,247700352807,193796255877683,162190565238307008,0.56185,0.60379,0.63656,3261.6694,,,,,,,,,,,,,,,,
67,234,m,Ithomiinae,Melinaea,marsaeus,rileyi-phasiana,631758.0,1105.1426,1125,-5.6908,249596375319,195085867248065,163189300193060992,0.55872,0.60081,0.6337,3360.2207,,,,,,,,,,,,,,,,
68,234,m,Ithomiinae,Melinaea,marsaeus,rileyi-phasiana,905808.0,1602.0642,1652,130.5663,914712971420,1096119557640370,1389881441854540032,0.6083,0.64506,0.67371,4273.9995,,,,,,,,,,,,,,,,
69,234,m,Ithomiinae,Melinaea,marsaeus,rileyi-phasiana,888498.0,1591.7935,1603,152.6353,896933795912,1072334595817530,1355417710824689920,0.62678,0.66419,0.6933,4402.7274,,,,,,,,,,,,,,,,
70,234,m,Ithomiinae,Melinaea,marsaeus,rileyi-phasiana,632027.0,1105.1086,1126,-14.2412,250925982898,196446234505354,164596250617232992,0.55959,0.60159,0.63443,3353.2846,,,,,,,,,,,,,,,,
71,234,m,Ithomiinae,Melinaea,marsaeus,rileyi-phasiana,614695.0,1098.1449,1111,134.8268,238540642132,184784883672204,153091814279723008,0.56071,0.60296,0.63586,3280.6572,,,,,,,,,,,,,,,,
72,362,f,Ithomiinae,Melinaea,ludovica,ludovica,788298.0,1520.3528,1575,95.7769,727633842206,831881690641004,1006559238850419968,0.61,0.64641,0.67493,4069.3893,,,,,,,,,,,,,,,,
73,362,f,Ithomiinae,Melinaea,ludovica,ludovica,796990.0,1531.9613,1600,67.3864,765136515700,889380248089104,1093704287935420032,0.61238,0.64827,0.67646,4118.6513,,,,,,,,,,,,,,,,
74,362,f,Ithomiinae,Melinaea,ludovica,ludovica,470507.0,1037.3504,1048,37.986,165271619968,121659678990912,95842398709427904,0.56553,0.6079,0.64104,2928.1648,,,,,,,,,,,,,,,,
75,362,f,Ithomiinae,Melinaea,ludovica,ludovica,475744.0,1042.6339,1057,15.6217,168689457251,124852682684245,98934252440454704,0.56336,0.60571,0.63888,2907.9566,,,,,,,,,,,,,,,,
76,362,f,Ithomiinae,Melinaea,ludovica,ludovica,798878.0,1537.516,1608,53.3753,773504408523,902767844678313,1114608354698489984,0.61193,0.64776,0.67589,4132.6442,,,,,,,,,,,,,,,,
77,362,f,Ithomiinae,Melinaea,ludovica,ludovica,791075.0,1522.5673,1579,99.1106,731577104457,837512734591865,1014881539661100032,0.60903,0.64547,0.67401,4119.2299,,,,,,,,,,,,,,,,
78,362,f,Ithomiinae,Melinaea,ludovica,ludovica,476886.0,1044.2391,1058,15.8796,169018700116,125101553809500,99124152875635904,0.5627,0.60506,0.6382,2905.78,,,,,,,,,,,,,,,,
79,362,f,Ithomiinae,Melinaea,ludovica,ludovica,470930.0,1038.8006,1054,28.549,167297657153,123666867336091,97809484215062704,0.56549,0.60756,0.64049,2863.312,,,,,,,,,,,,,,,,
80,377,f,Ithomiinae,Melinaea,marsaeus,mothone,1063042.0,1748.9727,1839,146.8721,1421284211633,1930229655001750,2766834852707659776,0.62876,0.66339,0.69068,4948.6584,d,Ant,d,Ithomiinae,817.6772,898.0,36.084,215133426161.0,123435842644897.0,7.70109640661002e+16,0.50096,0.54328,0.57773,,,
81,377,f,Ithomiinae,Melinaea,marsaeus,mothone,714136.0,1780.1615,1813,118.4075,964968609625,1318460426542220,1900262501864130048,0.64116,0.67665,0.70447,5264.0798,d,Ant,g,Ithomiinae,564.2176,663.0,88.9929,74197283011.0,29931654488009.0,1.30713730200102e+16,0.48617,0.52393,0.55478,,,
82,377,f,Ithomiinae,Melinaea,marsaeus,mothone,709323.0,1224.6976,1261,49.349,366797752023,324521289574459,306874246389571008,0.57026,0.61106,0.64315,3737.9781,,,,,,,,,,,,,,,,
83,377,f,Ithomiinae,Melinaea,marsaeus,mothone,708424.0,1213.866,1244,57.7658,349321954887,303341507951305,281717578430567008,0.56448,0.60589,0.63835,3650.2968,,,,,,,,,,,,,,,,
84,377,f,Ithomiinae,Melinaea,marsaeus,mothone,714783.0,1780.526,1823,126.1674,976940536472,1340821018482500,1940926411323930112,0.6413,0.67652,0.70416,5348.3224,v,Ant,d,Ithomiinae,563.713,660.0,89.5404,74029120127.0,29812661474139.0,1.29910991910008e+16,0.48761,0.52545,0.55632,,,
85,377,f,Ithomiinae,Melinaea,marsaeus,mothone,1067485.0,1751.0955,1847,132.3883,1428731434630,1941607686141300,2785052086499330048,0.62637,0.6609,0.6881,5010.5752,v,Ant,g,Ithomiinae,820.934,904.0,15.8518,217460773537.0,125269186915545.0,7.85013630151061e+16,0.49928,0.54158,0.57605,,,
86,377,f,Ithomiinae,Melinaea,marsaeus,mothone,707069.0,1212.6198,1241,91.5854,347685317432,301512459263470,279625556584160992,0.56505,0.60652,0.63901,3655.0491,,,,,,,,,,,,,,,,
87,377,f,Ithomiinae,Melinaea,marsaeus,mothone,711046.0,1225.6976,1259,55.8746,366368215385,323865810090733,306024098731004032,0.57014,0.61113,0.64334,3795.174,,,,,,,,,,,,,,,,
88,378,f,Ithomiinae,Melinaea,marsaeus,mothone,1116539.0,1786.224,1863,128.0021,1487240036630,2029705508894810,2928622222032730112,0.6195,0.6551,0.6831,4867.6462,d,Ant,d,Ithomiinae,835.2734,926.0,63.5764,242155879560.0,143040040794058.0,9.17839492560757e+16,0.50292,0.5444,0.57825,,,
89,378,f,Ithomiinae,Melinaea,marsaeus,mothone,1106464.0,1765.569,1849,107.6964,1411393376341,1891070106495050,2680657303394010112,0.61083,0.64663,0.67474,4813.7123,d,Ant,g,Ithomiinae,834.6437,925.0,-7.6142,239131976747.0,141017938106719.0,9.03101624488855e+16,0.50258,0.54405,0.57784,,,
90,378,f,Ithomiinae,Melinaea,marsaeus,mothone,307755.0,1385.576,1271,-149.9163,174638524024,165834707891158,167851453852673984,0.59268,0.64024,0.67614,3354.9932,,,,,,,,,,,,,,,,
91,378,f,Ithomiinae,Melinaea,marsaeus,mothone,749115.0,1262.5671,1290,17.8166,395174281022,355901299411294,343126564760806016,0.56303,0.60488,0.63773,3699.1669,,,,,,,,,,,,,,,,
92,378,f,Ithomiinae,Melinaea,marsaeus,mothone,1108634.0,1765.7525,1852,101.9789,1415952472871,1898131694729230,2692041930042780160,0.61022,0.64596,0.67403,4798.0382,v,Ant,d,Ithomiinae,836.3579,926.0,-5.4761,240584752056.0,142185307750424.0,9.126819472921e+16,0.50307,0.5446,0.57846,,,
93,378,f,Ithomiinae,Melinaea,marsaeus,mothone,1115047.0,1786.1441,1864,141.3996,1484548424637,2025701711099130,2922437145264139776,0.61902,0.65461,0.6826,4859.026,v,Ant,g,Ithomiinae,834.1205,924.0,54.8185,241448931998.0,142479983409194.0,9.13313554958399e+16,0.50361,0.54511,0.57897,,,
94,378,f,Ithomiinae,Melinaea,marsaeus,mothone,749039.0,1264.226,1299,10.6517,408399018882,372119876597346,362789390170291968,0.56844,0.6097,0.64221,3709.4095,,,,,,,,,,,,,,,,
95,378,f,Ithomiinae,Melinaea,marsaeus,mothone,307050.0,1386.189,1271,-133.3523,175232335631,166688621549643,168967056400132992,0.59437,0.64183,0.67765,3331.8532,,,,,,,,,,,,,,,,
96,382,f,Ithomiinae,Melinaea,marsaeus,mothone,1098648.0,1797.4756,1873,122.7269,1483304422539,2036710896590440,2954529571150519808,0.62037,0.65587,0.68371,4907.1265,d,Ant,d,Ithomiinae,818.2069,910.0,27.1554,228568587536.0,132124182597570.0,8.29225688124476e+16,0.50123,0.54242,0.57599,,,
97,382,f,Ithomiinae,Melinaea,marsaeus,mothone,1083691.0,1778.0302,1853,144.3208,1381811733090,1852675819574670,2626525939219169792,0.60939,0.64529,0.67335,4831.8372,d,Ant,g,Ithomiinae,816.3997,915.0,-4.9808,227129165048.0,131579990354628.0,8.28046909975143e+16,0.50034,0.54118,0.5746,,,
98,382,f,Ithomiinae,Melinaea,marsaeus,mothone,729666.0,1228.5921,1287,45.0949,397257577275,358315934264133,345459702577526976,0.57332,0.61301,0.64453,3610.907,,,,,,,,,,,,,,,,
99,382,f,Ithomiinae,Melinaea,marsaeus,mothone,747594.0,1262.8118,1291,63.7611,396350245729,357200836389245,344383066324388992,0.564,0.60556,0.63814,3626.6055,,,,,,,,,,,,,,,,
100,382,f,Ithomiinae,Melinaea,marsaeus,mothone,1084433.0,1778.9431,1853,153.6305,1400147667674,1886358449166770,2686761065577950208,0.61321,0.64903,0.67707,4838.1559,v,Ant,d,Ithomiinae,816.5202,914.0,-5.3439,226761821391.0,131281950136969.0,8.25694740452001e+16,0.50031,0.54124,0.57472,,,
101,382,f,Ithomiinae,Melinaea,marsaeus,mothone,1098017.0,1798.6264,1872,151.1227,1474805481385,2021548214621760,2927807198833699840,0.61909,0.65472,0.68262,4885.7123,v,Ant,g,Ithomiinae,817.0824,909.0,30.2584,227318502305.0,131123044515085.0,8.21198828214868e+16,0.50055,0.54174,0.5753,,,
102,382,f,Ithomiinae,Melinaea,marsaeus,mothone,748482.0,1264.6096,1293,68.679,398165355941,359373357694153,346959134998630016,0.56408,0.60561,0.63815,3645.6938,,,,,,,,,,,,,,,,
