,id,sex,genotype,phenotype_x,Perimeter,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,phenotype_y,Tribe,Genus,Species,sub-species,doresal/ventral,Anterior/Posterior,left/right,sub/Family,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,phenotype,sex-phenotype
83,814,f,a-s,aurora,4822.9427,755305,1238.5581,1218,-17.3992,3.68677E+11,3.21175E+14,2.99E+17,0.57361,0.61739,0.65145,aurora,,,,,,,,,,,,,,,,,,,
84,815,m,a-e,elegans,4839.0676,1123574,1751.6928,1797,148.2064,1.27484E+12,1.63889E+15,2.24E+18,0.59276,0.6311,0.66111,elegans,,,,,,,,,,,,,,,,,,,
85,815,m,a-e,elegans,4839.0676,763788,1177.7192,1174,43.4054,3.45302E+11,2.88533E+14,2.58E+17,0.57272,0.61575,0.64941,elegans,,,,,,,,,,,,,,,,,,,
86,815,m,a-e,elegans,4954.4747,1123574,1751.6928,1797,148.2064,1.27484E+12,1.63889E+15,2.24E+18,0.59276,0.6311,0.66111,elegans,,,,,,,,,,,,,,,,,,,
87,815,m,a-e,elegans,4954.4747,763788,1177.7192,1174,43.4054,3.45302E+11,2.88533E+14,2.58E+17,0.57272,0.61575,0.64941,elegans,,,,,,,,,,,,,,,,,,,
88,823,f,e-s,elegans,4976.9011,1158163,1799.986,1864,105.2476,1.47534E+12,1.98759E+15,2.84E+18,0.6055,0.6423,0.67115,elegans,,,,,,,,,,,,,,,,,,,
89,823,f,e-s,elegans,4976.9011,759597,1236.1487,1228,65.1741,3.81457E+11,3.3497E+14,3.14E+17,0.57708,0.61983,0.65315,elegans,,,,,,,,,,,,,,,,,,,
90,823,f,e-s,elegans,4879.9061,1158163,1799.986,1864,105.2476,1.47534E+12,1.98759E+15,2.84E+18,0.6055,0.6423,0.67115,elegans,,,,,,,,,,,,,,,,,,,
91,823,f,e-s,elegans,4879.9061,759597,1236.1487,1228,65.1741,3.81457E+11,3.3497E+14,3.14E+17,0.57708,0.61983,0.65315,elegans,,,,,,,,,,,,,,,,,,,
92,824,m,s-s,silvana,4607.6879,1088864,1785.1512,1818,84.9978,1.24816E+12,1.62039E+15,2.24E+18,0.58892,0.62799,0.65851,silvana,,,,,,,,,,,,,,,,,,,
93,824,m,s-s,silvana,4607.6879,705499,1145.2063,1143,-105.6103,3.01425E+11,2.45006E+14,2.13E+17,0.57187,0.61496,0.64871,silvana,,,,,,,,,,,,,,,,,,,
94,824,m,s-s,silvana,4955.4768,1088864,1785.1512,1818,84.9978,1.24816E+12,1.62039E+15,2.24E+18,0.58892,0.62799,0.65851,silvana,,,,,,,,,,,,,,,,,,,
95,824,m,s-s,silvana,4955.4768,705499,1145.2063,1143,-105.6103,3.01425E+11,2.45006E+14,2.13E+17,0.57187,0.61496,0.64871,silvana,,,,,,,,,,,,,,,,,,,
96,840,m,s-s,silvana,4904.3986,1085455,1760.7877,1798,-97.4687,9.76818E+11,1.18907E+15,1.57E+18,0.52761,0.57334,0.60971,silvana,,,,,,,,,,,,,,,,,,,
97,840,m,s-s,silvana,4904.3986,748212,1173.7921,1161,-60.7072,3.28317E+11,2.71735E+14,2.41E+17,0.57056,0.61453,0.64894,silvana,,,,,,,,,,,,,,,,,,,
98,840,m,s-s,silvana,4872.1387,1085455,1760.7877,1798,-97.4687,9.76818E+11,1.18907E+15,1.57E+18,0.52761,0.57334,0.60971,silvana,,,,,,,,,,,,,,,,,,,
99,840,m,s-s,silvana,4872.1387,748212,1173.7921,1161,-60.7072,3.28317E+11,2.71735E+14,2.41E+17,0.57056,0.61453,0.64894,silvana,,,,,,,,,,,,,,,,,,,
100,841,f,s-s,silvana,4760.7417,1007652,1687.657,1737,54.9855,1.06082E+12,1.31309E+15,1.73E+18,0.5907,0.62882,0.65866,silvana,,,,,,,,,,,,,,,,,,,
101,841,f,s-s,silvana,4760.7417,638854,1138.1467,1119,80.1073,2.5263E+11,1.99872E+14,1.70E+17,0.56197,0.60667,0.64141,silvana,,,,,,,,,,,,,,,,,,,
102,841,f,s-s,silvana,4777.8229,1007652,1687.657,1737,54.9855,1.06082E+12,1.31309E+15,1.73E+18,0.5907,0.62882,0.65866,silvana,,,,,,,,,,,,,,,,,,,
103,841,f,s-s,silvana,4777.8229,638854,1138.1467,1119,80.1073,2.5263E+11,1.99872E+14,1.70E+17,0.56197,0.60667,0.64141,silvana,,,,,,,,,,,,,,,,,,,
104,842,m,e-s,elegans,4803.4208,1106233,1768.352,1834,-113.9315,9.85188E+11,1.19869E+15,1.58E+18,0.51456,0.56004,0.59628,elegans,,,,,,,,,,,,,,,,,,,
105,842,m,e-s,elegans,4803.4208,726117,1164.1125,1149,70.4806,2.98651E+11,2.40837E+14,2.08E+17,0.55816,0.60245,0.63676,elegans,,,,,,,,,,,,,,,,,,,
106,842,m,e-s,elegans,4643.2442,1106233,1768.352,1834,-113.9315,9.85188E+11,1.19869E+15,1.58E+18,0.51456,0.56004,0.59628,elegans,,,,,,,,,,,,,,,,,,,
107,842,m,e-s,elegans,4643.2442,726117,1164.1125,1149,70.4806,2.98651E+11,2.40837E+14,2.08E+17,0.55816,0.60245,0.63676,elegans,,,,,,,,,,,,,,,,,,,
108,843,m,a-s,aurora,4730.9528,981714,1652.6213,1692,-74.7109,7.71827E+11,8.80241E+14,1.09E+18,0.52404,0.56991,0.60645,aurora,,,,,,,,,,,,,,,,,,,
109,843,m,a-s,aurora,4730.9528,666668,1092.8445,1083,-21.751,2.4682E+11,1.88227E+14,1.54E+17,0.56183,0.60575,0.63994,aurora,,,,,,,,,,,,,,,,,,,
110,843,m,a-s,aurora,4680.4158,981714,1652.6213,1692,-74.7109,7.71827E+11,8.80241E+14,1.09E+18,0.52404,0.56991,0.60645,aurora,,,,,,,,,,,,,,,,,,,
111,843,m,a-s,aurora,4680.4158,666668,1092.8445,1083,-21.751,2.4682E+11,1.88227E+14,1.54E+17,0.56183,0.60575,0.63994,aurora,,,,,,,,,,,,,,,,,,,
112,844,m,a-e,elegans,4607.6046,1151521,1760.8809,1795,74.8004,1.28754E+12,1.64894E+15,2.24E+18,0.58909,0.62793,0.6582,elegans,,,,,,,,,,,,,,,,,,,
113,844,m,a-e,elegans,4607.6046,786836,1212.2774,1196,-81.1728,3.63458E+11,3.09585E+14,2.83E+17,0.56827,0.61268,0.64746,elegans,,,,,,,,,,,,,,,,,,,
114,844,m,a-e,elegans,4687.1955,1151521,1760.8809,1795,74.8004,1.28754E+12,1.64894E+15,2.24E+18,0.58909,0.62793,0.6582,elegans,,,,,,,,,,,,,,,,,,,
115,844,m,a-e,elegans,4687.1955,786836,1212.2774,1196,-81.1728,3.63458E+11,3.09585E+14,2.83E+17,0.56827,0.61268,0.64746,elegans,,,,,,,,,,,,,,,,,,,
116,851,f,a-s,aurora,4899.4107,1061564,1707.8447,1780,-121.6342,8.87451E+11,1.04803E+15,1.35E+18,0.51366,0.5594,0.59614,aurora,,,,,,,,,,,,,,,,,,,
117,851,f,a-s,aurora,4899.4107,671640,1162.5963,1152,26.1636,2.89602E+11,2.37484E+14,2.09E+17,0.57001,0.61383,0.64813,aurora,,,,,,,,,,,,,,,,,,,
118,851,f,a-s,aurora,4793.764,1061564,1707.8447,1780,-121.6342,8.87451E+11,1.04803E+15,1.35E+18,0.51366,0.5594,0.59614,aurora,,,,,,,,,,,,,,,,,,,
119,851,f,a-s,aurora,4793.764,671640,1162.5963,1152,26.1636,2.89602E+11,2.37484E+14,2.09E+17,0.57001,0.61383,0.64813,aurora,,,,,,,,,,,,,,,,,,,
120,875,f,s-s,silvana,4719.0605,1019467,1708.3005,1765,-106.4896,8.39006E+11,9.86901E+14,1.26E+18,0.51399,0.56047,0.59776,silvana,,,,,,,,,,,,,,,,,,,
121,875,f,s-s,silvana,4719.0605,648932,1127.392,1121,20.8525,2.69989E+11,2.16232E+14,1.85E+17,0.5754,0.61845,0.65213,silvana,,,,,,,,,,,,,,,,,,,
122,875,f,s-s,silvana,4574.9183,1019467,1708.3005,1765,-106.4896,8.39006E+11,9.86901E+14,1.26E+18,0.51399,0.56047,0.59776,silvana,,,,,,,,,,,,,,,,,,,
123,875,f,s-s,silvana,4574.9183,648932,1127.392,1121,20.8525,2.69989E+11,2.16232E+14,1.85E+17,0.5754,0.61845,0.65213,silvana,,,,,,,,,,,,,,,,,,,
124,876,f,a-s,aurora,4766.298,1021426,1702.4914,1753,-103.7225,8.28231E+11,9.68179E+14,1.23E+18,0.51368,0.56036,0.59771,aurora,,,,,,,,,,,,,,,,,,,
125,876,f,a-s,aurora,4766.298,655303,1153.2501,1136,73.2842,2.69392E+11,2.16502E+14,1.86E+17,0.56441,0.60855,0.64279,aurora,,,,,,,,,,,,,,,,,,,
126,876,f,a-s,aurora,4452.5407,1021426,1702.4914,1753,-103.7225,8.28231E+11,9.68179E+14,1.23E+18,0.51368,0.56036,0.59771,aurora,,,,,,,,,,,,,,,,,,,
127,876,f,a-s,aurora,4452.5407,655303,1153.2501,1136,73.2842,2.69392E+11,2.16502E+14,1.86E+17,0.56441,0.60855,0.64279,aurora,,,,,,,,,,,,,,,,,,,
128,877,f,a-s,aurora,5096.2808,1128908,1779.2336,1841,-124.2176,1.01061E+12,1.23943E+15,1.65E+18,0.51394,0.56036,0.59761,aurora,,,,,,,,,,,,,,,,,,,
