,id,sex,Perimeter,area,ellipse axe 1 length,max axe 1 length,deviation max axe 1 from center,axe 1 Moment 2,axe 1 Moment 3,axe 1 Moment 4,std axe 1 Moment 2,std axe 1 Moment 3,std axe 1 Moment 4,Tribe,Genus,Species,sub-species,ellipse axe 2 length,max axe 2 length,deviation max axe 2 from center,axe 2 Moment 2,axe 2 Moment 3,axe 2 Moment 4,std axe 2 Moment 2,std axe 2 Moment 3,std axe 2 Moment 4,sex-phenotype
87,815,m,4954.4747,763788.0,1177.7192,1174,43.4054,345301638234,288532854345928,2.58054982510692e+17,0.57272,0.61575,0.64941,,,,,,,,,,,,,,
88,823,f,4976.9011,1158163.0,1799.986,1864,105.2476,1475338667454,1987591768338370,2.83681272075118e+18,0.6055,0.6423,0.67115,,,,,,,,,,,,,,
89,823,f,4976.9011,759597.0,1236.1487,1228,65.1741,381457023077,334970259903611,3.14351367708399e+17,0.57708,0.61983,0.65315,,,,,,,,,,,,,,
90,823,f,4879.9061,1158163.0,1799.986,1864,105.2476,1475338667454,1987591768338370,2.83681272075118e+18,0.6055,0.6423,0.67115,,,,,,,,,,,,,,
91,823,f,4879.9061,759597.0,1236.1487,1228,65.1741,381457023077,334970259903611,3.14351367708399e+17,0.57708,0.61983,0.65315,,,,,,,,,,,,,,
92,824,m,4607.6879,1088864.0,1785.1512,1818,84.9978,1248160764566,1620394792562020,2.23660362665926e+18,0.58892,0.62799,0.65851,,,,,,,,,,,,,,
93,824,m,4607.6879,705499.0,1145.2063,1143,-105.6103,301425257179,245005532302847,2.13243678472979e+17,0.57187,0.61496,0.64871,,,,,,,,,,,,,,
94,824,m,4955.4768,1088864.0,1785.1512,1818,84.9978,1248160764566,1620394792562020,2.23660362665926e+18,0.58892,0.62799,0.65851,,,,,,,,,,,,,,
95,824,m,4955.4768,705499.0,1145.2063,1143,-105.6103,301425257179,245005532302847,2.13243678472979e+17,0.57187,0.61496,0.64871,,,,,,,,,,,,,,
96,840,m,4904.3986,1085455.0,1760.7877,1798,-97.4687,976817513282,1189071092945140,1.56771522890528e+18,0.52761,0.57334,0.60971,,,,,,,,,,,,,,
97,840,m,4904.3986,748212.0,1173.7921,1161,-60.7072,328317121242,271735443553954,2.41091853898253e+17,0.57056,0.61453,0.64894,,,,,,,,,,,,,,
98,840,m,4872.1387,1085455.0,1760.7877,1798,-97.4687,976817513282,1189071092945140,1.56771522890528e+18,0.52761,0.57334,0.60971,,,,,,,,,,,,,,
99,840,m,4872.1387,748212.0,1173.7921,1161,-60.7072,328317121242,271735443553954,2.41091853898253e+17,0.57056,0.61453,0.64894,,,,,,,,,,,,,,
100,841,f,4760.7417,1007652.0,1687.657,1737,54.9855,1060824324819,1313092363944120,1.72646337479798e+18,0.5907,0.62882,0.65866,,,,,,,,,,,,,,
101,841,f,4760.7417,638854.0,1138.1467,1119,80.1073,252630136111,199871843225915,1.69541323801348e+17,0.56197,0.60667,0.64141,,,,,,,,,,,,,,
102,841,f,4777.8229,1007652.0,1687.657,1737,54.9855,1060824324819,1313092363944120,1.72646337479798e+18,0.5907,0.62882,0.65866,,,,,,,,,,,,,,
103,841,f,4777.8229,638854.0,1138.1467,1119,80.1073,252630136111,199871843225915,1.69541323801348e+17,0.56197,0.60667,0.64141,,,,,,,,,,,,,,
104,842,m,4803.4208,1106233.0,1768.352,1834,-113.9315,985187848998,1198692762731660,1.5821690172609e+18,0.51456,0.56004,0.59628,,,,,,,,,,,,,,
105,842,m,4803.4208,726117.0,1164.1125,1149,70.4806,298651475023,240836611572311,2.08056275551472e+17,0.55816,0.60245,0.63676,,,,,,,,,,,,,,
106,842,m,4643.2442,1106233.0,1768.352,1834,-113.9315,985187848998,1198692762731660,1.5821690172609e+18,0.51456,0.56004,0.59628,,,,,,,,,,,,,,
107,842,m,4643.2442,726117.0,1164.1125,1149,70.4806,298651475023,240836611572311,2.08056275551472e+17,0.55816,0.60245,0.63676,,,,,,,,,,,,,,
108,843,m,4730.9528,981714.0,1652.6213,1692,-74.7109,771827231404,880241021800920,1.08833011490085e+18,0.52404,0.56991,0.60645,,,,,,,,,,,,,,
109,843,m,4730.9528,666668.0,1092.8445,1083,-21.751,246820302193,188227349832553,1.53808067196592e+17,0.56183,0.60575,0.63994,,,,,,,,,,,,,,
110,843,m,4680.4158,981714.0,1652.6213,1692,-74.7109,771827231404,880241021800920,1.08833011490085e+18,0.52404,0.56991,0.60645,,,,,,,,,,,,,,
111,843,m,4680.4158,666668.0,1092.8445,1083,-21.751,246820302193,188227349832553,1.53808067196592e+17,0.56183,0.60575,0.63994,,,,,,,,,,,,,,
112,844,m,4607.6046,1151521.0,1760.8809,1795,74.8004,1287543309773,1648944449517760,2.24373252928959e+18,0.58909,0.62793,0.6582,,,,,,,,,,,,,,
113,844,m,4607.6046,786836.0,1212.2774,1196,-81.1728,363457681337,309584655712603,2.8291598324895e+17,0.56827,0.61268,0.64746,,,,,,,,,,,,,,
114,844,m,4687.1955,1151521.0,1760.8809,1795,74.8004,1287543309773,1648944449517760,2.24373252928959e+18,0.58909,0.62793,0.6582,,,,,,,,,,,,,,
115,844,m,4687.1955,786836.0,1212.2774,1196,-81.1728,363457681337,309584655712603,2.8291598324895e+17,0.56827,0.61268,0.64746,,,,,,,,,,,,,,
116,851,f,4899.4107,1061564.0,1707.8447,1780,-121.6342,887450804855,1048025915067580,1.3459422202971e+18,0.51366,0.5594,0.59614,,,,,,,,,,,,,,
117,851,f,4899.4107,671640.0,1162.5963,1152,26.1636,289602250935,237484470544881,2.08734518503477e+17,0.57001,0.61383,0.64813,,,,,,,,,,,,,,
118,851,f,4793.764,1061564.0,1707.8447,1780,-121.6342,887450804855,1048025915067580,1.3459422202971e+18,0.51366,0.5594,0.59614,,,,,,,,,,,,,,
119,851,f,4793.764,671640.0,1162.5963,1152,26.1636,289602250935,237484470544881,2.08734518503477e+17,0.57001,0.61383,0.64813,,,,,,,,,,,,,,
120,875,f,4719.0605,1019467.0,1708.3005,1765,-106.4896,839006127308,986901023497124,1.26314321345295e+18,0.51399,0.56047,0.59776,,,,,,,,,,,,,,
121,875,f,4719.0605,648932.0,1127.392,1121,20.8525,269989172812,216231997551810,1.85334419816751e+17,0.5754,0.61845,0.65213,,,,,,,,,,,,,,
122,875,f,4574.9183,1019467.0,1708.3005,1765,-106.4896,839006127308,986901023497124,1.26314321345295e+18,0.51399,0.56047,0.59776,,,,,,,,,,,,,,
123,875,f,4574.9183,648932.0,1127.392,1121,20.8525,269989172812,216231997551810,1.85334419816751e+17,0.5754,0.61845,0.65213,,,,,,,,,,,,,,
124,876,f,4766.298,1021426.0,1702.4914,1753,-103.7225,828231448504,968179431627152,1.23112246683722e+18,0.51368,0.56036,0.59771,,,,,,,,,,,,,,
125,876,f,4766.298,655303.0,1153.2501,1136,73.2842,269391627545,216501610835127,1.86308541409903e+17,0.56441,0.60855,0.64279,,,,,,,,,,,,,,
126,876,f,4452.5407,1021426.0,1702.4914,1753,-103.7225,828231448504,968179431627152,1.23112246683722e+18,0.51368,0.56036,0.59771,,,,,,,,,,,,,,
127,876,f,4452.5407,655303.0,1153.2501,1136,73.2842,269391627545,216501610835127,1.86308541409903e+17,0.56441,0.60855,0.64279,,,,,,,,,,,,,,
128,877,f,5096.2808,1128908.0,1779.2336,1841,-124.2176,1010610537991,1239433033320870,1.65402819763531e+18,0.51394,0.56036,0.59761,,,,,,,,,,,,,,
129,877,f,5096.2808,714303.0,1204.0303,1202,23.002,329720983022,279876991623676,2.54600289971099e+17,0.56523,0.60878,0.64282,,,,,,,,,,,,,,
130,877,f,4869.3031,1128908.0,1779.2336,1841,-124.2176,1010610537991,1239433033320870,1.65402819763531e+18,0.51394,0.56036,0.59761,,,,,,,,,,,,,,
131,877,f,4869.3031,714303.0,1204.0303,1202,23.002,329720983022,279876991623676,2.54600289971099e+17,0.56523,0.60878,0.64282,,,,,,,,,,,,,,
132,878,f,4980.4747,1068891.0,1723.2011,1787,-106.6492,900492158458,1069960513089190,1.3828296568733e+18,0.51363,0.55978,0.59681,,,,,,,,,,,,,,
133,878,f,4980.4747,694483.0,1174.152,1161,27.0785,302356774585,249481785721621,2.20598190022473e+17,0.56833,0.61229,0.64663,,,,,,,,,,,,,,
